event_date,event_name,dates,num_flooded,days_away_from_event,max_days_away,num_dates,AWDR-18,AWDR-19,AWDR-3,AWND-18,AWND-19,AWND-20,AWND-3,WDF2-19,WDF2-20,WGF6-18,WSF2-19,WSF2-20,gw_av-10,gw_av-11,gw_av-4,gw_av-5,gw_av-6,gw_av-8,gw_av-9,hht-17,hht-18,ht-17,ht-18,llt-17,llt-18,lt-17,lt-18,r15-11_td-17,r15-11_td-18,r15-12_td-17,r15-12_td-18,r15-13_td-17,r15-13_td-18,r15-14_td-17,r15-14_td-18,r15-15_td-17,r15-15_td-18,r15-16_td-17,r15-16_td-18,r15-1_td-17,r15-1_td-18,r15-21_td-17,r15-21_td-18,r15-2_td-17,r15-2_td-18,r15-7_td-17,r15-7_td-18,r15mx-1,r15mx-11,r15mx-12,r15mx-13,r15mx-14,r15mx-15,r15mx-16,r15mx-2,r15mx-21,r15mx-7,r3d-1,r3d-11,r3d-12,r3d-13,r3d-14,r3d-15,r3d-16,r3d-19,r3d-2,r3d-20,r3d-21,r3d-7,rd-1,rd-11,rd-12,rd-13,rd-14,rd-15,rd-16,rd-19,rd-2,rd-20,rd-21,rd-7,rhr-11_td-17,rhr-11_td-18,rhr-12_td-17,rhr-12_td-18,rhr-13_td-17,rhr-13_td-18,rhr-14_td-17,rhr-14_td-18,rhr-15_td-17,rhr-15_td-18,rhr-16_td-17,rhr-16_td-18,rhr-1_td-17,rhr-1_td-18,rhr-21_td-17,rhr-21_td-18,rhr-2_td-17,rhr-2_td-18,rhr-7_td-17,rhr-7_td-18,rhrmx-1,rhrmx-11,rhrmx-12,rhrmx-13,rhrmx-14,rhrmx-15,rhrmx-16,rhrmx-2,rhrmx-21,rhrmx-7,td_av-17,td_av-18
2010-09-30,Nicole-2010-09-30,"['2010-09-30T00:00:00.000000000' '2010-10-01T00:00:00.000000000'
 '2010-10-04T00:00:00.000000000']",101.0,[0. 1. 4.],4.0,3.0,,291.6666666666667,,,11.6,12.6,,83.33333333333333,160.0,,27.266666666666666,24.666666666666668,1.3867634259240003,3.957449999996667,1.168274999999,4.14992546296,11.109546759269998,4.952596759256667,3.660335648146667,3.4189999999999996,3.8160000000000003,3.002,3.4189999999999996,0.5710000000000001,0.495,1.2009999999999998,1.171,-0.254,-0.40266666666699996,1.156,1.43366666667,1.8045,1.8735,1.49166666667,1.60966666667,0.6609999999999999,0.779,1.156,1.43366666667,,,1.0313333333299999,1.05966666667,,,1.8045,1.8735,,0.61,0.63,0.69,0.52,0.57,0.6,,0.55,0.67,,4.88,3.42,3.41,2.98,2.98,3.06,3.55,,4.09,3.31,3.5,0.0,9.62,11.549999999999999,11.74,7.630000000000001,6.08,8.15,8.2,0.0,9.33,9.21,11.280000000000001,-0.254,-0.40266666666699996,1.0695,1.26,1.0695,1.26,1.6375,1.629,1.2613333333299999,1.07533333333,1.0313333333299999,1.05966666667,,,0.9385,0.927,,,0.5656666666669999,0.7020000000000001,,1.29,1.59,1.4,1.17,0.9,1.31,,1.49,1.43,1.3839902777766666,1.5219583333323332
2010-12-16,Snow-2010-12-16,['2010-12-16T00:00:00.000000000'],2.0,[0.],0.0,1.0,,213.0,,,2.9,2.5,,210.0,200.0,,17.0,13.0,1.11995555556,1.61274305556,-1.37119305556,3.21733194444,6.39900972222,3.39242222222,1.0880125,0.823,0.899,0.5479999999999999,0.774,-1.148,-1.2990000000000002,-1.053,-1.207,,,0.5395,0.6845,0.128333333333,0.083,0.013000000000000001,-0.005,0.128333333333,0.083,0.4545,0.584,,,-0.9135,-1.063,,,-0.589333333333,-0.6759999999999999,,0.0,0.03,0.02,0.04,0.02,0.08,,0.02,0.03,,0.01,-8.881784197e-16,0.02,0.08,0.01,0.01,0.11,,0.08,0.01,0.12,0.0,0.0,0.3,0.21,0.45,0.29,0.19,0.42,0.0,0.35,0.1,0.42,,,0.542333333333,0.7316666666670001,0.317,0.26133333333299996,0.2365,0.16899999999999998,0.542333333333,0.7316666666670001,0.5395,0.6845,,,-1.0465,-1.163,,,-0.3215,-0.3675,,-5.06539254985e-16,0.07,0.05,0.12,0.06,0.12,,0.03,0.11,-0.20850416666700003,-0.195775
2011-08-27,Irene-2011-08-27,"['2011-08-24T00:00:00.000000000' '2011-08-27T00:00:00.000000000'
 '2011-08-28T00:00:00.000000000' '2011-08-29T00:00:00.000000000']",110.0,[-3.  0.  1.  2.],2.0,4.0,133.6113717162,133.0,,8.5641029700175,13.975000000000001,14.725000000000001,,130.0,187.5,13.95394677023,27.475,26.775,0.91964791666675,2.1920291666675,0.31828020833349996,0.13996805555525005,6.997589583335,4.620611111110001,1.1502135416644999,4.726,5.21,2.073,2.4019999999999997,-0.5579999999999999,-0.8270000000000001,2.5980000000000003,2.799,2.873,3.46433333333,2.9296666666699998,3.49933333333,2.9,3.512,2.9,3.512,2.977,3.53233333333,2.873,3.46433333333,,,2.9,3.512,,,2.9296666666699998,3.49933333333,,0.32,0.33,0.42,0.38,0.31,0.37,,0.35,0.32,,0.01,0.66,0.07,0.35,0.19,0.75,0.35,,0.11,0.4,0.19,0.0,7.029999999999999,8.370000000000001,7.62,6.78,7.2,8.27,8.1,0.0,6.32,8.42,7.42,2.897,3.29066666667,2.873,3.46433333333,2.925,3.384,2.925,3.384,2.9,3.512,2.873,3.46433333333,,,2.925,3.384,,,2.873,3.46433333333,,1.09,1.22,1.12,0.93,1.02,1.3,,1.1,1.03,1.04581354166675,1.14569166666675
2012-10-28,Sandy-2012-10-28,"['2012-10-27T00:00:00.000000000' '2012-10-28T00:00:00.000000000'
 '2012-10-29T00:00:00.000000000']",105.0,[-1.  0.  1.],1.0,3.0,110.73012452123334,123.0,107.6285000001,11.923954023010003,23.8,24.0,16.168342592600002,20.0,16.666666666666668,20.061461206900002,37.63333333333333,39.0,1.2509879629633334,2.30601203704,0.8136189814823335,3.5276990353333333,7.12429537037,4.1874777777766665,1.7793615740756668,5.44,5.712000000000001,5.0489999999999995,5.407,1.594,1.568,3.287,3.281,3.21066666667,3.15066666667,5.021,5.364,5.021,5.364,4.15133333333,4.83466666667,4.942,5.396,4.56566666667,5.20666666667,,,5.0685,5.343999999999999,,,4.6165,4.8045,,0.12,0.21,0.14,0.13,0.15,0.12,,0.16,0.09,,0.44,0.45,0.33,0.16,0.29,0.29,0.15,,0.25,0.51,0.54,0.0,5.91,6.47,6.43,5.25,7.42,6.34,5.91,0.0,5.109999999999999,6.89,1.94,3.5255,4.152,4.7525,5.417000000000001,3.72566666667,4.39733333333,3.72566666667,4.39733333333,3.9355,4.631,4.15133333333,4.83466666667,,,3.72566666667,4.39733333333,,,4.63466666667,4.85766666667,,0.39,0.58,0.4,0.38,0.52,0.43,,0.48,0.23,2.7026569444433335,2.796030555553333
2013-10-09,Heavy Rain-2013-10-09,"['2013-10-08T00:00:00.000000000' '2013-10-09T00:00:00.000000000'
 '2013-10-10T00:00:00.000000000']",36.0,[-1.  0.  1.],1.0,3.0,41.512499999999996,25.666666666666668,52.9562824074,8.769402777776667,20.8,21.566666666666663,12.863050925933331,36.666666666666664,26.666666666666668,15.315069444466667,32.0,33.1,0.8662138888886667,2.13629722222,-0.11041111111033342,2.4338578703726665,6.0076365740733335,3.0412500000000002,0.6180115740736667,4.0455,4.3795,3.3675,3.6175,1.155,1.014,2.106,2.06,4.10966666667,4.37666666667,3.8895,4.2175,3.8895,4.2175,3.5989999999999998,3.9945,2.254,2.19833333333,3.94466666667,4.11766666667,,,3.8895,4.2175,,,4.103,4.342,,0.24,0.18,0.19,1.35,0.4,0.22,,0.2,0.22,,0.47,0.53,0.84,0.59,2.26,1.68,0.7,,0.64,0.69,0.84,0.0,4.529999999999999,4.1899999999999995,3.7700000000000005,8.01,4.79,3.69,2.98,0.0,3.5999999999999996,4.05,4.45,3.7645,4.124,3.73133333333,4.08266666667,3.8895,4.2175,3.3595,3.6845,3.89333333333,4.0606666666699995,3.94466666667,4.11766666667,,,3.89333333333,4.0606666666699995,,,3.73133333333,4.08266666667,,0.49,0.45,0.47,3.07,0.56,0.4,,0.46,0.5,2.212498611113333,2.2772305555566668
2014-05-16,Heavy Rain-2014-05-16,['2014-05-16T00:00:00.000000000'],35.0,[0.],0.0,1.0,222.545833333,213.0,216.666291667,6.62083333333,8.3,7.8,5.012152777780001,200.0,200.0,9.721,23.9,21.0,2.36783055556,3.4780597222199994,0.93585,2.74969444444,9.407055555560001,3.71138333333,2.6955375,2.4930000000000003,2.785,1.745,1.939,,,-0.863,-1.1055,0.131333333333,-0.252666666667,0.378666666667,0.285333333333,0.131333333333,-0.252666666667,1.6865,1.8355,1.4569999999999999,1.347,0.5365,0.4905,0.131333333333,-0.252666666667,1.6865,1.8355,,,0.131333333333,-0.252666666667,0.69,0.45,0.42,0.6,0.23,0.53,0.4,,0.41,0.76,0.09,-1.94289029309e-15,-1.84574577844e-15,-4.63171168086e-16,4.1806835771e-15,1.0061396160700002e-15,1.6514567491300002e-15,-2.55004350969e-16,,-3.8857805861900003e-16,0.05,-2.17881268583e-15,3.93,3.15,3.37,3.81,2.05,2.36,2.9,3.01,0.0,3.33,2.91,4.26,0.5365,0.4905,0.675666666667,0.647333333333,0.5365,0.4905,1.7180000000000002,1.90933333333,1.6666666666699999,1.72366666667,0.675666666667,0.647333333333,0.378666666667,0.285333333333,0.675666666667,0.647333333333,,,0.5365,0.4905,2.23,1.44,1.25,1.77,0.67,1.2,0.99,,1.06,2.11,0.576854166667,0.54375
2014-06-09,unnamed-2014-06-09,['2014-06-09T00:00:00.000000000'],1.0,[0.],0.0,1.0,194.677824268,192.0,205.196208333,5.73062761506,10.7,7.8,5.710541666669999,180.0,160.0,8.44037656904,17.0,15.0,1.72985972222,2.58240972222,-0.128259722222,0.948101388889,6.998708333330001,2.8776472222200002,1.53192222222,1.726,1.893,0.981,1.112,-0.85,-1.178,-0.7609999999999999,-1.0170000000000001,-0.64,-0.7909999999999999,1.4685,1.465,,,,,,,,,,,1.54066666667,1.59133333333,,,,,0.0,0.01,0.09,0.0,0.0,0.0,0.0,,0.04,0.0,0.0,-1.7763568394e-15,-1.7763568394e-15,-4.57966997658e-16,4.02455846427e-15,8.881784197e-16,1.7763568394e-15,-4.4408920985e-16,,-4.4408920985e-16,0.03,-1.7763568394e-15,0.0,0.01,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,-0.64,-0.7909999999999999,1.54066666667,1.59133333333,,,,,,,,,,,1.54066666667,1.59133333333,,,,,-3.31332183912e-16,0.01,0.12,2.35922392733e-16,-2.89872292836e-15,-1.62890534394e-15,-1.10154940725e-15,,0.04,-2.0834028946500003e-15,0.336575,0.27562083333299997
2014-06-19,Thunderstorms-2014-06-19,['2014-06-20T00:00:00.000000000'],5.0,[1.],1.0,1.0,201.54375,138.0,176.8776875,5.100041666669999,7.25,8.2,5.51332638889,120.0,185.0,7.648270833334999,18.55,23.05,1.63788472222,2.56072777778,-0.07399861111115,1.6489743055550004,6.7743479166650005,2.88367986111,1.5973833333349998,2.044,2.18,1.768,1.9340000000000002,-0.643,-0.8859999999999999,-0.6659999999999999,-0.82,1.2615,1.5535,1.2615,1.5535,1.2615,1.5535,1.1733333333299998,1.399,1.1733333333299998,1.399,1.1733333333299998,1.399,1.2615,1.5535,1.1733333333299998,1.399,,,1.1733333333299998,1.399,0.25,0.21,0.54,0.43,0.17,0.99,1.25,,0.66,0.51,-1.11022302463e-16,-1.99840144433e-15,-1.8509499488699996e-15,-4.4408920985e-16,4.05231403988e-15,9.29811783124e-16,1.76247905159e-15,-4.1633363423400003e-16,,-5.551115123130001e-16,0.03,-1.66533453694e-15,0.48,0.43,1.14,0.58,0.32,1.38,2.0199999999999996,0.33,0.0,0.16,1.22,0.91,1.2615,1.5535,0.7763333333329999,1.16666666667,1.0585,1.2975,0.7763333333329999,1.16666666667,0.7763333333329999,1.16666666667,0.7763333333329999,1.16666666667,1.1733333333299998,1.399,0.7763333333329999,1.16666666667,,,1.0585,1.2975,0.36,0.37,1.13,0.49,0.21,1.31,1.92,,1.12,0.84,0.582629166667,0.5811187499999999
2014-07-03,Arthur-2014-07-03,['2014-07-04T00:00:00.000000000'],8.0,[1.],1.0,1.0,216.2729166665,263.5,187.4446875,8.885666666665,13.55,13.649999999999999,7.953486111115,280.0,240.0,13.990583333350001,24.95,26.6,1.45001527778,2.338081944445,-0.37769027777749997,1.2465631944464999,6.417984027779999,2.71263958333,1.350577083335,2.08,2.205,1.745,1.926,0.131,-0.095,0.6629999999999999,0.6759999999999999,1.48966666667,1.639,1.48966666667,1.639,1.48966666667,1.639,0.8220000000000001,0.899,0.7905,0.9615,1.71566666667,1.895,1.739,1.903,0.19033333333299998,0.239666666667,,,1.739,1.903,0.16,0.28,0.01,0.33,0.21,0.23,0.25,,0.3,0.24,-6.24500451352e-17,0.01,-1.7763568394e-15,-4.30211422042e-16,0.09,8.60422844084e-16,0.02,-3.5388358909900004e-16,,-5.932754287840001e-16,0.03,-1.7208456881700002e-15,0.87,1.28,0.02,1.28,1.27,1.4,1.15,1.46,0.0,1.03,1.6800000000000002,1.03,1.6485,1.89,1.48966666667,1.639,1.6485,1.89,0.7905,0.9615,0.7905,0.9615,0.804666666667,0.940333333333,1.68,1.891,0.804666666667,0.940333333333,,,1.68,1.891,0.28,0.39,0.01,0.38,0.55,0.63,0.37,,0.46,0.38,0.6707958333315,0.666660416665
2014-07-09,Thunderstorms-2014-07-09,['2014-07-09T00:00:00.000000000'],2.0,[0.],0.0,1.0,225.891666667,218.0,230.590402778,6.77479166667,12.8,8.9,7.932319444439999,240.0,280.0,10.3330416667,31.1,36.9,1.338825,2.29331805556,-0.369281944444,-8.74,6.423111111109999,2.74271527778,1.28712083333,1.3219999999999998,1.3880000000000001,0.358,0.41700000000000004,-1.5930000000000002,-1.9295,,,0.7456666666670001,0.311666666667,1.0506666666700002,1.1540000000000001,0.7335,0.5855,0.9315,1.1385,0.8706666666670001,0.9109999999999999,1.0506666666700002,1.1540000000000001,0.8706666666670001,0.9109999999999999,0.9315,1.1385,,,0.8706666666670001,0.9109999999999999,0.63,0.5,0.48,0.29,0.39,0.72,0.32,,0.54,0.3,-1.11022302463e-16,-1.99840144433e-15,-1.7763568394e-15,-4.4408920985e-16,3.99680288865e-15,8.881784197e-16,1.7763568394e-15,-4.4408920985e-16,,-6.66133814775e-16,0.03,-1.7763568394e-15,1.23,1.6,1.76,1.38,1.31,2.11,1.22,1.35,0.0,1.3,1.7,1.45,0.802,1.393,0.846333333333,1.09266666667,0.846333333333,1.09266666667,0.7020000000000001,0.981,0.9536666666670001,1.36266666667,0.7020000000000001,0.981,0.9536666666670001,1.36266666667,0.7020000000000001,0.981,,,0.846333333333,1.09266666667,0.74,1.02,1.28,0.66,0.91,1.07,0.77,,1.05,0.66,-0.246775,-0.33012083333299996
